GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,AppleKeychain,combinator,1836650.0,1840135.0,1837963.89,1837821.0,93.0,94.0,93.78,94.0,69.0,71.0,70.11,70.0,887.95,5889.25,3927.79,5889.25,7.88,52.28,34.87,52.28,0.0,96.0,50.96,94.0,
NVIDIA GeForce GTX 1080 Ti,AppleSecureNotes,combinator,81665.0,83937.0,82343.88,82137.5,96.0,97.0,96.62,97.0,82.0,85.0,83.5,83.5,2213.52,7253.88,6693.87,7253.88,19.65,64.4,59.43,64.4,6.0,98.0,77.28,97.0,
NVIDIA GeForce GTX 1080 Ti,AxCrypt1,combinator,122251.0,122397.0,122292.56,122269.0,85.0,86.0,85.89,86.0,75.0,75.0,75.0,75.0,2390.09,7063.52,6499.89,7020.89,21.22,62.71,57.7,62.33,1.0,98.0,76.83,97.0,
NVIDIA GeForce GTX 1080 Ti,AxCrypt1in-memorySHA1,combinator,5414772829.0,5589979325.0,5511480368.67,5534768532.0,94.0,94.0,94.0,94.0,82.0,85.0,83.33,83.0,2283.44,5378.34,4965.03,5290.63,20.27,47.75,44.08,46.97,1.0,61.0,45.5,57.5,
NVIDIA GeForce GTX 1080 Ti,AxCrypt2AES-128,combinator,52214.0,52223.0,52217.38,52216.5,94.0,94.0,94.0,94.0,62.0,63.0,62.62,63.0,888.77,6898.69,4252.91,6898.69,7.89,61.25,37.76,61.25,0.0,98.0,52.14,96.0,
NVIDIA GeForce GTX 1080 Ti,AxCrypt2AES-256,combinator,24457.0,24471.0,24465.22,24466.0,96.0,98.0,97.33,97.0,61.0,62.0,61.22,61.0,888.6,7065.25,4344.24,7065.25,7.89,62.72,38.57,62.72,0.0,99.0,49.34,67.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt$2-$ Blowfish(Unix),combinator,24995.0,27072.0,26237.25,26578.5,93.0,95.0,94.0,94.0,57.0,63.0,59.88,59.5,1537.08,3400.38,2618.58,3400.38,13.65,30.19,23.25,30.19,0.0,95.0,52.22,94.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt(md5($pass))-bcryptmd5,combinator,21809.0,21825.0,21815.88,21815.0,93.0,94.0,93.5,93.5,57.0,57.0,57.0,57.0,1610.59,3473.23,2657.89,3473.23,14.3,30.83,23.6,30.83,0.0,97.0,48.82,50.5,
NVIDIA GeForce GTX 1080 Ti,bcrypt(sha1($pass))-bcryptsha1,combinator,21797.0,21811.0,21801.62,21799.5,93.0,94.0,93.25,93.0,56.0,56.0,56.0,56.0,1609.94,3483.5,2658.85,3473.23,14.29,30.93,23.6,30.83,0.0,96.0,51.68,94.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt(sha512($pass))-bcryptsha512,combinator,177.0,177.0,177.0,177.0,95.0,96.0,95.67,96.0,56.0,56.0,56.0,56.0,2021.16,4184.18,3279.29,3886.46,17.94,37.15,29.11,34.5,0.0,99.0,52.22,97.0,
NVIDIA GeForce GTX 1080 Ti,BestCryptv3VolumeEncryption,combinator,1103138.0,1111673.0,1105704.75,1104626.0,90.0,97.0,95.5,96.0,64.0,65.0,64.75,65.0,888.29,6303.62,4678.54,6301.25,7.89,55.96,41.54,55.94,0.0,97.0,59.0,95.0,
NVIDIA GeForce GTX 1080 Ti,Bitcoin-Litecoinwallet.dat,combinator,6355.0,6371.0,6360.0,6358.0,95.0,96.0,95.78,96.0,67.0,68.0,67.89,68.0,2199.0,6906.3,5493.84,6905.73,19.52,61.31,48.77,61.31,0.0,97.0,43.6,53.5,
NVIDIA GeForce GTX 1080 Ti,BitcoinWIFprivatekey(P2PKH) compressed26,combinator,16871237188.0,18190207618.0,17664300931.0,17797879459.0,56.0,68.0,64.5,67.0,54.0,55.0,54.5,54.5,2019.66,5053.18,4041.87,5052.12,17.93,44.86,35.88,44.85,0.0,73.0,35.89,37.0,
NVIDIA GeForce GTX 1080 Ti,BitcoinWIFprivatekey(P2PKH) uncompressed27,combinator,11032203253.0,13886724183.0,11872464207.0,11638436144.0,17.0,42.0,32.0,40.0,54.0,54.0,54.0,54.0,2022.04,5060.68,4452.39,5060.68,17.95,44.93,39.53,44.93,0.0,38.0,21.2,24.0,
NVIDIA GeForce GTX 1080 Ti,BitcoinWIFprivatekey(P2SH(P2WPKH)) compressed30,combinator,16833958648.0,18113258461.0,17596474392.0,17719340229.5,53.0,69.0,64.5,68.0,55.0,55.0,55.0,55.0,2018.66,5079.5,4056.58,5067.43,17.92,45.09,36.01,44.99,0.0,75.0,32.11,29.0,
NVIDIA GeForce GTX 1080 Ti,BitcoinWIFprivatekey(P2SH(P2WPKH)) uncompressed31,combinator,14140475769.0,18276959144.0,15994647040.4,14803239114.0,18.0,64.0,50.8,57.0,56.0,57.0,56.8,57.0,2012.22,5081.62,4059.64,5081.31,17.86,45.11,36.04,45.11,0.0,53.0,26.89,42.0,
NVIDIA GeForce GTX 1080 Ti,BitcoinWIFprivatekey(P2WPKH Bech32) compressed28,combinator,18112041601.0,19202942469.0,18644323311.33,18617985864.0,38.0,67.0,57.0,66.0,55.0,56.0,55.33,55.0,2020.57,5054.5,4295.07,5051.56,17.94,44.87,38.13,44.85,0.0,73.0,39.88,49.5,
NVIDIA GeForce GTX 1080 Ti,BitcoinWIFprivatekey(P2WPKH Bech32) uncompressed29,combinator,17659846958.0,18049973762.0,17823364505.0,17791818650.0,27.0,47.0,37.75,38.5,55.0,55.0,55.0,55.0,2021.22,5071.18,4053.13,5061.0,17.94,45.02,35.98,44.93,0.0,52.0,19.78,18.0,
NVIDIA GeForce GTX 1080 Ti,BitLocker,combinator,166.0,166.0,166.0,166.0,99.0,99.0,99.0,99.0,56.0,56.0,56.0,56.0,1584.79,3038.75,2911.46,3031.56,14.07,26.98,25.85,26.91,0.0,99.0,83.5,98.0,
NVIDIA GeForce GTX 1080 Ti,BitSharesv0.x-sha512(sha512_bin(pass)),combinator,289432384.0,289496147.0,289463692.25,289457651.5,95.0,95.0,95.0,95.0,62.0,63.0,62.75,63.0,2274.92,5323.45,4797.51,5294.73,20.2,47.26,42.59,47.01,1.0,96.0,74.11,95.0,
NVIDIA GeForce GTX 1080 Ti,Bitwarden,combinator,13345.0,13353.0,13351.0,13352.0,97.0,97.0,97.0,97.0,67.0,68.0,67.62,68.0,887.95,5931.25,3623.81,5931.25,7.88,52.66,32.17,52.66,0.0,97.0,44.47,0.0,
NVIDIA GeForce GTX 1080 Ti,BLAKE2b-512($pass.$salt),combinator,172469696.0,177670578.0,175181882.38,175179577.0,98.0,98.0,98.0,98.0,59.0,61.0,60.0,60.0,1557.16,4593.81,4087.8,4593.81,13.82,40.78,36.29,40.78,0.0,98.0,73.11,97.0,
NVIDIA GeForce GTX 1080 Ti,BLAKE2b-512($salt.$pass),combinator,445732420.0,459368681.0,453511519.38,454954771.5,90.0,97.0,95.62,96.0,62.0,65.0,63.0,62.5,1556.52,4573.44,4076.26,4573.44,13.82,40.6,36.19,40.6,0.0,97.0,78.28,96.0,
NVIDIA GeForce GTX 1080 Ti,BLAKE2b-512,combinator,442567643.0,455635955.0,449807114.62,450753238.5,95.0,97.0,96.0,96.0,62.0,65.0,63.0,62.5,1557.16,4583.81,4106.01,4583.81,13.82,40.69,36.45,40.69,0.0,96.0,73.26,95.0,
