GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,AppleSecureNotes,hybrid,30684.0,31260.0,31128.75,31249.5,96.0,97.0,96.62,97.0,59.0,59.0,59.0,59.0,1141.41,6184.4,3607.69,1280.4,10.13,54.9,32.03,11.37,0.0,97.0,40.04,0.0,
NVIDIA GeForce GTX 1080 Ti,AxCrypt1,hybrid,76231.0,115215.0,85391.22,78910.0,98.0,98.0,98.0,98.0,58.0,59.0,58.22,58.0,1141.75,5764.4,4254.53,5764.4,10.14,51.18,37.77,51.18,0.0,97.0,59.22,97.0,
NVIDIA GeForce GTX 1080 Ti,AxCrypt1in-memorySHA1,hybrid,0.0,2253361705.0,1922229455.8,2252086864.0,23.0,97.0,79.4,92.0,55.0,58.0,57.2,58.0,1143.98,4172.84,2412.16,1284.84,10.16,37.05,21.41,11.41,0.0,97.0,18.93,0.0,
NVIDIA GeForce GTX 1080 Ti,AxCrypt2AES-128,hybrid,25326.0,25364.0,25355.0,25363.0,94.0,95.0,94.12,94.0,57.0,58.0,57.12,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,AxCrypt2AES-256,hybrid,11832.0,11979.0,11873.88,11832.0,95.0,97.0,96.5,97.0,57.0,58.0,57.25,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,bcrypt$2-$ Blowfish(Unix),hybrid,11046.0,11362.0,11262.44,11295.0,95.0,95.0,95.0,95.0,54.0,54.0,54.0,54.0,1142.16,3008.71,2090.8,1284.71,10.14,26.71,18.56,11.41,0.0,96.0,40.61,0.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt(md5($pass))-bcryptmd5,hybrid,10376.0,10659.0,10568.0,10592.0,93.0,94.0,93.25,93.0,54.0,54.0,54.0,54.0,1132.04,2995.77,2084.02,1271.77,10.05,26.6,18.5,11.29,0.0,95.0,40.87,0.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt(sha1($pass))-bcryptsha1,hybrid,10741.0,10789.0,10766.0,10761.0,93.0,95.0,93.25,93.0,55.0,55.0,55.0,55.0,1132.04,2998.46,2045.12,1271.77,10.05,26.62,18.16,11.29,0.0,95.0,37.33,0.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt(sha512($pass))-bcryptsha512,hybrid,88.0,89.0,88.75,89.0,94.0,95.0,94.38,94.0,56.0,56.0,56.0,56.0,1137.56,3000.21,2123.29,2138.21,10.1,26.64,18.85,18.98,0.0,99.0,48.21,41.0,
NVIDIA GeForce GTX 1080 Ti,BestCryptv3VolumeEncryption,hybrid,163364.0,224751.0,182986.86,175539.0,99.0,100.0,99.43,99.0,57.0,58.0,57.14,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,Bitcoin-Litecoinwallet.dat,hybrid,3328.0,3335.0,3332.25,3332.5,94.0,95.0,94.25,94.0,56.0,57.0,56.25,56.0,1146.19,5852.84,3555.04,3568.84,10.18,51.96,31.56,31.68,0.0,98.0,38.63,0.0,
