GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,1Password  cloudkeychain,dict2,8.0,13.0,9.78,9.0,87.0,93.0,91.39,92.0,52.0,57.0,53.39,53.0,2115.89,8501.79,7697.15,8436.54,18.78,75.48,68.33,74.9,1.0,80.0,63.04,74.0,
NVIDIA GeForce GTX 1080 Ti,7-Zip,dict2,2.0,2.0,2.0,2.0,75.0,79.0,76.67,77.0,57.0,59.0,57.28,57.0,1677.54,6681.15,6054.08,6677.84,14.89,59.31,53.75,59.28,0.0,86.0,62.71,76.0,
NVIDIA GeForce GTX 1080 Ti,AESCrypt(SHA256),dict2,105.0,127.0,115.62,114.5,57.0,67.0,63.62,64.5,58.0,60.0,58.62,58.0,1657.49,7667.54,6463.67,7664.79,14.71,68.07,57.38,68.05,0.0,93.0,48.6,60.0,
NVIDIA GeForce GTX 1080 Ti,AndroidBackup,dict2,117.0,123.0,120.43,121.0,25.0,87.0,76.29,84.0,59.0,61.0,59.86,59.0,1672.23,6606.27,5619.22,6605.77,14.85,58.65,49.89,58.65,1.0,98.0,62.2,85.0,
NVIDIA GeForce GTX 1080 Ti,AndroidFDE(SamsungDEK),dict2,193.0,193.0,193.0,193.0,61.0,64.0,62.5,62.5,60.0,60.0,60.0,60.0,1623.84,7618.38,5620.53,7617.38,14.42,67.63,49.9,67.63,0.0,88.0,42.78,69.0,
NVIDIA GeForce GTX 1080 Ti,AnsibleVault,dict2,73.0,80.0,76.33,75.5,37.0,68.0,64.08,67.0,58.0,60.0,58.58,58.0,1646.09,7657.2,6719.38,7635.95,14.61,67.98,59.65,67.79,2.0,100.0,58.46,72.0,
NVIDIA GeForce GTX 1080 Ti,AppleFileSystem(APFS),dict2,35.0,39.0,36.44,36.0,63.0,68.0,66.67,67.0,57.0,59.0,57.33,57.0,1664.6,6651.65,6148.08,6645.34,14.78,59.05,54.58,59.0,1.0,87.0,68.0,82.0,
NVIDIA GeForce GTX 1080 Ti,AppleiWork,dict2,451.0,451.0,451.0,451.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,1658.14,6382.79,4020.85,4021.61,14.72,56.67,35.7,35.7,0.0,98.0,28.83,0.0,
NVIDIA GeForce GTX 1080 Ti,AppleSecureNotes,dict2,35.0,39.0,36.5,36.0,63.0,76.0,67.61,67.0,57.0,59.0,58.0,58.0,1641.34,6628.32,6000.65,6622.01,14.57,58.85,53.27,58.79,3.0,72.0,57.71,69.0,
NVIDIA GeForce GTX 1080 Ti,AxCrypt1,dict2,149.0,152.0,150.6,151.0,25.0,71.0,58.4,65.0,59.0,60.0,59.6,60.0,1620.67,6183.2,4660.53,6177.07,14.39,54.89,41.38,54.84,0.0,98.0,48.78,69.0,
NVIDIA GeForce GTX 1080 Ti,AxCrypt2AES-128,dict2,110.0,119.0,115.29,116.0,37.0,74.0,64.0,67.0,58.0,60.0,58.71,58.0,1658.14,7600.79,6412.49,7600.79,14.72,67.48,56.93,67.48,0.0,98.0,51.3,68.5,
