GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,AxCrypt2AES-128,force,5.0,5.0,5.0,5.0,58.0,66.0,61.25,61.0,54.0,54.0,54.0,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,AxCrypt2AES-256,force,2.0,2.0,2.0,2.0,70.0,75.0,71.67,71.0,54.0,55.0,54.33,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,bcrypt$2-$ Blowfish(Unix),force,1024.0,19340.0,15113.58,17241.0,94.0,97.0,95.37,96.0,56.0,57.0,56.89,57.0,1145.0,3005.65,2354.9,3005.65,10.17,26.68,20.91,26.68,0.0,97.0,54.52,94.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt(md5($pass))-bcryptmd5,force,16.0,10801.0,7999.15,10646.0,90.0,97.0,93.22,93.0,53.0,54.0,53.67,54.0,1145.0,3005.65,2416.24,3005.65,10.17,26.68,21.45,26.68,0.0,98.0,57.44,94.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt(sha1($pass))-bcryptsha1,force,16.0,10789.0,8320.67,10641.0,93.0,94.0,93.33,93.0,54.0,54.0,54.0,54.0,1144.29,3005.65,2352.29,3005.65,10.16,26.68,20.88,26.68,0.0,95.0,52.85,94.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt(sha512($pass))-bcryptsha512,force,0.0,0.0,0.0,0.0,94.0,94.0,94.0,94.0,52.0,53.0,52.22,52.0,1149.44,3010.09,2249.25,3010.09,10.2,26.72,19.97,26.72,0.0,99.0,50.83,97.0,
NVIDIA GeForce GTX 1080 Ti,BestCryptv3VolumeEncryption,force,54283.0,677688.0,596298.63,662021.0,95.0,97.0,96.47,97.0,57.0,58.0,57.89,58.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,Bitcoin-Litecoinwallet.dat,force,0.0,0.0,0.0,0.0,91.0,92.0,91.11,91.0,53.0,53.0,53.0,53.0,1144.12,5851.65,5108.29,5851.65,10.16,51.95,45.35,51.95,0.0,97.0,68.79,93.0,
NVIDIA GeForce GTX 1080 Ti,BitLocker,force,83.0,83.0,83.0,83.0,99.0,99.0,99.0,99.0,51.0,51.0,51.0,51.0,1145.16,2602.59,2063.45,2602.59,10.17,23.11,18.32,23.11,0.0,99.0,55.8,98.0,
NVIDIA GeForce GTX 1080 Ti,BitSharesv0.x-sha512(sha512_bin(pass)),force,29262744.0,66016651.0,61379889.71,65784128.0,86.0,96.0,91.86,92.0,54.0,55.0,54.86,55.0,1145.0,4171.65,2988.33,4171.65,10.17,37.04,26.53,37.04,0.0,96.0,47.0,55.0,
NVIDIA GeForce GTX 1080 Ti,Bitwarden,force,0.0,0.0,0.0,0.0,60.0,61.0,60.25,60.0,54.0,55.0,54.25,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,BLAKE2b-512($pass.$salt),force,28469611.0,49661024.0,47704971.86,49375986.5,94.0,96.0,94.14,94.0,52.0,52.0,52.0,52.0,1142.79,4183.65,2890.92,4183.65,10.15,37.14,25.67,37.14,0.0,94.0,42.16,0.0,
NVIDIA GeForce GTX 1080 Ti,BLAKE2b-512($salt.$pass),force,67321854.0,270891146.0,251500053.36,270284924.5,90.0,97.0,92.21,92.0,53.0,54.0,53.93,54.0,1145.35,4176.09,3084.02,4176.09,10.17,37.07,27.38,37.07,0.0,96.0,50.1,71.0,
NVIDIA GeForce GTX 1080 Ti,BLAKE2b-512,force,27298938.0,108645267.0,99980550.79,108392329.0,70.0,94.0,91.79,94.0,52.0,52.0,52.0,52.0,1147.23,4176.09,3295.75,4176.09,10.18,37.07,29.26,37.07,0.0,94.0,57.23,94.0,
NVIDIA GeForce GTX 1080 Ti,Blockchain MyWallet SecondPassword(SHA256),force,8.0,5968.0,2832.67,342.0,71.0,86.0,78.67,76.5,51.0,53.0,51.21,51.0,1144.35,5683.65,4433.13,5683.65,10.16,50.46,39.36,50.46,0.0,97.0,56.41,82.0,
NVIDIA GeForce GTX 1080 Ti,Blockchain MyWallet V2,force,24.0,250343.0,150209.89,249809.0,76.0,87.0,83.53,86.0,57.0,64.0,61.58,63.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,Blockchain MyWallet,force,16690267.0,69442047.0,63982392.36,69224083.0,63.0,96.0,91.86,96.0,61.0,63.0,62.36,63.0,1145.54,6150.09,4658.12,6150.09,10.17,54.6,41.35,54.6,0.0,96.0,53.43,82.0,
NVIDIA GeForce GTX 1080 Ti,BSDiCrypt ExtendedDES,force,403406.0,3276222.0,2111592.35,3229585.0,55.0,95.0,80.8,94.0,54.0,60.0,57.25,58.5,1145.0,6229.65,4975.98,6229.65,10.17,55.31,44.18,55.31,0.0,97.0,56.83,59.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-ASAMD5,force,88991875.0,8669422995.0,3886301097.67,3634224921.0,64.0,97.0,90.17,95.0,55.0,58.0,56.5,56.5,1144.29,4171.65,2053.03,1283.65,10.16,37.04,18.23,11.4,0.0,97.0,14.86,0.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-IOS$8$(PBKDF2-SHA256),force,5.0,5.0,5.0,5.0,76.0,84.0,77.11,76.0,54.0,54.0,54.0,54.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,Cisco-IOS$9$(scrypt),force,8.0,7019.0,3111.2,286.0,88.0,97.0,95.08,95.0,53.0,54.0,53.32,53.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,Cisco-IOStype4(SHA256),force,585312316.0,2644424845.0,2231859586.0,2290343248.0,85.0,98.0,95.93,97.0,64.0,71.0,65.73,64.0,1145.54,4176.09,3772.27,4176.09,10.17,37.07,33.49,37.07,0.0,97.0,67.93,95.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-PIXMD5,force,115627328.0,8633298586.0,4240338093.0,3696351377.0,74.0,97.0,90.83,93.5,55.0,58.0,56.5,56.5,1145.0,4171.65,2108.81,1283.65,10.17,37.04,18.72,11.4,0.0,97.0,16.0,0.0,
NVIDIA GeForce GTX 1080 Ti,CitrixNetScaler(SHA1),force,321211703.0,4076964092.0,3407244899.0,4039390997.0,93.0,96.0,94.3,94.0,57.0,62.0,60.2,60.5,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,CitrixNetScaler(SHA512),force,0.0,227928541.0,197855253.0,227317785.0,93.0,97.0,93.53,93.0,52.0,55.0,54.0,54.0,1147.23,4176.09,3080.02,4176.09,10.18,37.07,27.34,37.07,0.0,96.0,48.75,53.0,
NVIDIA GeForce GTX 1080 Ti,ColdFusion10+,force,398170931.0,1517998476.0,1411984407.81,1516273198.0,95.0,97.0,95.25,95.0,61.0,65.0,64.19,65.0,1140.73,4171.65,3231.64,4171.65,10.13,37.04,28.69,37.04,0.0,98.0,57.27,92.0,
NVIDIA GeForce GTX 1080 Ti,CRAM-MD5,force,0.0,3261335007.0,2451374825.17,2873488396.0,94.0,97.0,95.83,96.0,63.0,70.0,65.0,64.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,CRAM-MD5Dovecot,force,574193497.0,12421869789.0,7546330368.6,10820590110.0,89.0,97.0,94.6,96.0,64.0,67.0,64.8,64.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,CRC32,force,252911213.0,5402783904.0,4150284889.14,5119551445.0,64.0,97.0,79.86,70.0,57.0,61.0,58.57,58.0,1145.0,4171.65,2834.09,4171.65,10.17,37.04,25.16,37.04,0.0,97.0,37.82,0.0,
NVIDIA GeForce GTX 1080 Ti,CRC32C,force,257995558.0,4618125492.0,2851664890.33,2960604844.0,76.0,97.0,89.0,94.0,58.0,64.0,60.17,58.5,1144.29,4171.65,2692.93,2727.65,10.16,37.04,23.91,24.22,0.0,98.0,29.83,0.0,
NVIDIA GeForce GTX 1080 Ti,CRC64Jones,force,398681294.0,24399263382.0,10587800778.6,11057829919.0,88.0,97.0,93.6,96.0,61.0,66.0,63.2,64.0,1148.73,4176.09,2562.94,1288.09,10.2,37.07,22.75,11.44,0.0,98.0,32.64,0.0,
NVIDIA GeForce GTX 1080 Ti,DahuaAuthenticationMD5,force,657679558.0,5393397761.0,3642379125.17,3992290785.5,94.0,98.0,95.83,96.0,57.0,64.0,59.5,57.5,1143.66,4171.65,2833.74,4171.65,10.15,37.04,25.16,37.04,0.0,98.0,40.64,18.0,
NVIDIA GeForce GTX 1080 Ti,DES(PT=$salt key=$pass),force,19527729396.0,20931376271.0,19959793786.89,19795950406.0,96.0,97.0,96.22,96.0,62.0,63.0,62.78,63.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,descrypt DES(Unix) TraditionalDES,force,3348195.0,450779943.0,386954037.72,439421869.0,71.0,98.0,94.16,96.0,54.0,56.0,55.32,55.0,1144.29,4171.65,3086.44,4171.65,10.16,37.04,27.4,37.04,0.0,99.0,56.19,92.0,
NVIDIA GeForce GTX 1080 Ti,DiskCryptor SHA512 + XTS 1024 bit (AES-Twofish),force,0.0,9585.0,4429.63,395.0,80.0,97.0,87.32,89.0,50.0,52.0,50.21,50.0,1139.23,8941.15,4752.32,1280.46,10.11,79.38,42.19,11.37,0.0,100.0,38.3,0.0,
