GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,bcrypt(md5($pass))-bcryptmd5,dict4,28908.0,28946.0,28929.61,28929.0,94.0,95.0,94.56,95.0,67.0,67.0,67.0,67.0,1133.38,2928.02,2294.05,2928.02,10.06,25.99,20.37,25.99,0.0,95.0,55.84,93.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt(sha1($pass))-bcryptsha1,dict4,28880.0,28931.0,28893.06,28889.5,90.0,95.0,94.5,95.0,65.0,66.0,65.94,66.0,1145.16,2940.46,2306.41,2940.46,10.17,26.1,20.48,26.1,0.0,95.0,58.91,94.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt(sha512($pass))-bcryptsha512,dict4,239.0,239.0,239.0,239.0,97.0,97.0,97.0,97.0,66.0,67.0,66.28,66.0,1145.81,2940.46,2330.94,2940.46,10.17,26.1,20.69,26.1,0.0,99.0,58.97,97.0,
NVIDIA GeForce GTX 1080 Ti,BestCryptv3VolumeEncryption,dict4,1253998.0,1286939.0,1264155.11,1263162.5,74.0,96.0,94.78,96.0,80.0,84.0,83.11,83.5,1145.0,6491.65,5794.42,6491.65,10.17,57.63,51.44,57.63,0.0,98.0,79.04,96.0,
NVIDIA GeForce GTX 1080 Ti,Bitcoin-Litecoinwallet.dat,dict4,7837.0,8154.0,7906.89,7868.0,97.0,98.0,97.83,98.0,82.0,86.0,83.5,83.0,1148.1,5789.21,5443.72,5786.46,10.19,51.4,48.33,51.37,0.0,98.0,79.74,97.0,
NVIDIA GeForce GTX 1080 Ti,BitLocker,dict4,217.0,217.0,217.0,217.0,98.0,99.0,98.06,98.0,67.0,67.0,67.0,67.0,1145.16,2534.46,2438.77,2534.46,10.17,22.5,21.65,22.5,0.0,99.0,85.9,98.0,
NVIDIA GeForce GTX 1080 Ti,BitSharesv0.x-sha512(sha512_bin(pass)),dict4,72170736.0,72328768.0,72281132.64,72304490.0,47.0,53.0,49.91,50.0,67.0,68.0,67.09,67.0,1145.81,2230.46,2027.42,2230.46,10.17,19.8,18.0,19.8,0.0,53.0,39.81,47.5,
NVIDIA GeForce GTX 1080 Ti,Bitwarden,dict4,16392.0,16899.0,16545.83,16592.0,97.0,97.0,97.0,97.0,82.0,85.0,83.61,83.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,BLAKE2b-512($pass.$salt),dict4,71368706.0,72138953.0,71849932.82,71863918.0,44.0,52.0,48.09,48.0,65.0,66.0,65.18,65.0,1145.81,2242.46,2037.17,2242.46,10.17,19.91,18.09,19.91,0.0,53.0,39.12,48.0,
NVIDIA GeForce GTX 1080 Ti,BLAKE2b-512($salt.$pass),dict4,88014711.0,89221084.0,88565015.67,88533357.0,30.0,43.0,38.22,40.0,64.0,65.0,64.78,65.0,1148.1,2240.46,1997.79,2240.46,10.19,19.89,17.74,19.89,0.0,51.0,37.78,47.0,
NVIDIA GeForce GTX 1080 Ti,BLAKE2b-512,dict4,31827529.0,32099312.0,31976124.65,31980784.0,12.0,19.0,15.47,16.0,62.0,65.0,63.35,63.0,1145.81,2230.46,1998.41,2230.46,10.17,19.8,17.74,19.8,0.0,47.0,27.93,32.0,
NVIDIA GeForce GTX 1080 Ti,Blockchain MyWallet SecondPassword(SHA256),dict4,331269.0,343161.0,334687.28,333681.5,96.0,97.0,96.94,97.0,82.0,85.0,83.56,83.5,1145.81,5618.46,5035.3,5618.46,10.17,49.88,44.7,49.88,0.0,97.0,79.91,97.0,
NVIDIA GeForce GTX 1080 Ti,Blockchain MyWallet,dict4,39038801.0,40669805.0,39808195.22,39776952.0,97.0,98.0,97.78,98.0,74.0,78.0,76.39,76.5,1148.1,6080.46,5437.21,6080.46,10.19,53.98,48.27,53.98,0.0,98.0,79.74,97.0,
NVIDIA GeForce GTX 1080 Ti,BSDiCrypt ExtendedDES,dict4,4521049.0,4589968.0,4554357.89,4544381.0,96.0,97.0,96.39,96.0,81.0,85.0,83.17,83.0,1146.41,6167.21,5512.51,6167.21,10.18,54.75,48.94,54.75,0.0,97.0,78.22,96.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-ASAMD5,dict4,527108193.0,527108193.0,527108193.0,527108193.0,21.0,21.0,21.0,21.0,64.0,64.0,64.0,64.0,1148.1,4106.46,2923.25,4106.46,10.19,36.46,25.95,36.46,0.0,20.0,7.2,0.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-IOS$8$(PBKDF2-SHA256),dict4,77569.0,81246.0,78361.28,78053.0,96.0,97.0,96.89,97.0,82.0,85.0,83.44,83.5,1145.16,7130.46,6610.16,7130.46,10.17,63.3,58.68,63.3,0.0,99.0,84.04,97.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-IOS$9$(scrypt),dict4,10126.0,10133.0,10130.11,10130.0,93.0,95.0,93.89,94.0,66.0,68.0,67.17,67.0,1138.88,3081.52,2828.71,3081.52,10.11,27.36,25.11,27.36,0.0,95.0,77.43,94.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-IOStype4(SHA256),dict4,281334037.0,281334037.0,281334037.0,281334037.0,43.0,43.0,43.0,43.0,68.0,68.0,68.0,68.0,1146.19,2230.84,1869.57,2230.84,10.18,19.81,16.6,19.81,0.0,47.0,23.17,24.0,
NVIDIA GeForce GTX 1080 Ti,Cisco-PIXMD5,dict4,805895978.0,805895978.0,805895978.0,805895978.0,35.0,35.0,35.0,35.0,66.0,66.0,66.0,66.0,1145.16,4106.46,2922.07,4106.46,10.17,36.46,25.94,36.46,0.0,35.0,13.2,0.0,
NVIDIA GeForce GTX 1080 Ti,CitrixNetScaler(SHA1),dict4,282847717.0,282847717.0,282847717.0,282847717.0,46.0,46.0,46.0,46.0,64.0,64.0,64.0,64.0,1145.16,2223.52,1864.18,2223.52,10.17,19.74,16.55,19.74,0.0,46.0,22.33,21.5,
NVIDIA GeForce GTX 1080 Ti,CitrixNetScaler(SHA512),dict4,146657613.0,149850491.0,148004535.0,147755018.0,42.0,47.0,45.0,45.5,68.0,68.0,68.0,68.0,1145.81,2230.46,1869.49,2230.46,10.17,19.8,16.6,19.8,0.0,61.0,30.89,49.0,
NVIDIA GeForce GTX 1080 Ti,ColdFusion10+,dict4,259487677.0,261913281.0,260700479.0,260700479.0,43.0,47.0,45.0,45.0,70.0,70.0,70.0,70.0,1148.1,2230.46,1838.7,2230.46,10.19,19.8,16.32,19.8,0.0,40.0,21.88,30.0,
NVIDIA GeForce GTX 1080 Ti,CRAM-MD5,dict4,284694326.0,284694326.0,284694326.0,284694326.0,47.0,47.0,47.0,47.0,68.0,68.0,68.0,68.0,1148.1,2233.4,1870.27,2230.46,10.19,19.83,16.6,19.8,0.0,47.0,25.83,30.5,
NVIDIA GeForce GTX 1080 Ti,CRAM-MD5Dovecot,dict4,314115611.0,314115611.0,314115611.0,314115611.0,41.0,41.0,41.0,41.0,69.0,69.0,69.0,69.0,1145.16,2223.52,1864.18,2223.52,10.17,19.74,16.55,19.74,0.0,37.0,17.33,16.5,
NVIDIA GeForce GTX 1080 Ti,CRC32,dict4,702777907.0,702777907.0,702777907.0,702777907.0,6.0,6.0,6.0,6.0,65.0,65.0,65.0,65.0,1145.81,4106.46,2626.98,2627.61,10.17,36.46,23.32,23.33,0.0,20.0,3.33,0.0,
NVIDIA GeForce GTX 1080 Ti,CRC32C,dict4,680507819.0,680507819.0,680507819.0,680507819.0,43.0,43.0,43.0,43.0,67.0,67.0,67.0,67.0,1145.16,4106.46,2922.07,4106.46,10.17,36.46,25.94,36.46,0.0,13.0,3.0,0.0,
NVIDIA GeForce GTX 1080 Ti,CRC64Jones,dict4,773231156.0,773231156.0,773231156.0,773231156.0,3.0,3.0,3.0,3.0,65.0,65.0,65.0,65.0,1145.16,4099.52,2917.91,4099.52,10.17,36.39,25.9,36.39,0.0,38.0,14.8,0.0,
NVIDIA GeForce GTX 1080 Ti,DahuaAuthenticationMD5,dict4,783655133.0,783655133.0,783655133.0,783655133.0,36.0,36.0,36.0,36.0,66.0,66.0,66.0,66.0,1148.1,4109.4,2923.83,4106.46,10.19,36.48,25.96,36.46,0.0,14.0,3.0,0.0,
