GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,1Password  cloudkeychain,dict1,93.0,95.0,93.67,94.0,71.0,79.0,76.11,78.0,57.0,58.0,57.22,57.0,2020.85,8342.14,6445.89,8342.14,17.94,74.06,57.23,74.06,0.0,86.0,53.4,75.0,
NVIDIA GeForce GTX 1080 Ti,7-Zip,dict1,17.0,17.0,17.0,17.0,78.0,84.0,79.11,79.0,56.0,57.0,56.11,56.0,1594.56,6609.11,5976.0,6597.73,14.16,58.67,53.05,58.57,2.0,72.0,58.29,70.0,
NVIDIA GeForce GTX 1080 Ti,AppleFileSystem(APFS),dict1,384.0,384.0,384.0,384.0,65.0,65.0,65.0,65.0,57.0,57.0,57.0,57.0,1978.21,6975.11,4483.21,4486.66,17.56,61.92,39.8,39.83,3.0,74.0,24.0,3.0,
NVIDIA GeForce GTX 1080 Ti,AppleSecureNotes,dict1,389.0,389.0,389.0,389.0,48.0,48.0,48.0,48.0,59.0,59.0,59.0,59.0,1622.02,6611.48,4117.53,4119.39,14.4,58.7,36.55,36.57,0.0,76.0,15.67,3.5,
NVIDIA GeForce GTX 1080 Ti,AxCrypt2AES-256,dict1,436.0,436.0,436.0,436.0,73.0,73.0,73.0,73.0,58.0,58.0,58.0,58.0,1646.02,7759.04,4702.42,4702.53,14.61,68.88,41.75,41.75,2.0,70.0,33.17,27.5,
NVIDIA GeForce GTX 1080 Ti,bcrypt(sha512($pass))-bcryptsha512,dict1,23.0,23.0,23.0,23.0,96.0,97.0,96.17,96.0,57.0,58.0,57.5,57.5,1637.27,3439.42,2827.86,3431.92,14.54,30.53,25.11,30.47,2.0,99.0,60.17,95.0,
NVIDIA GeForce GTX 1080 Ti,Bitcoin-Litecoinwallet.dat,dict1,24.0,24.0,24.0,24.0,85.0,91.0,89.89,90.0,57.0,58.0,57.39,57.0,1602.31,6251.11,5742.99,6235.86,14.23,55.5,50.99,55.36,2.0,93.0,72.11,88.0,
NVIDIA GeForce GTX 1080 Ti,BitLocker,dict1,13.0,13.0,13.0,13.0,98.0,99.0,98.94,99.0,60.0,60.0,60.0,60.0,1645.56,3036.36,2932.36,3024.86,14.61,26.96,26.03,26.85,2.0,99.0,86.72,98.0,
NVIDIA GeForce GTX 1080 Ti,Bitwarden,dict1,77.0,78.0,77.45,77.0,24.0,65.0,60.64,64.0,58.0,58.0,58.0,58.0,1628.14,6604.79,5775.83,6604.79,14.45,58.64,51.28,58.64,2.0,97.0,58.83,75.5,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev1(context3),dict1,430.0,430.0,430.0,430.0,70.0,70.0,70.0,70.0,59.0,59.0,59.0,59.0,1601.58,7699.73,4653.01,4654.34,14.22,68.36,41.31,41.32,2.0,75.0,22.83,7.5,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev1+localcontext,dict1,437.0,437.0,437.0,437.0,39.0,39.0,39.0,39.0,60.0,60.0,60.0,60.0,1610.58,6651.23,4131.19,4131.77,14.3,59.05,36.68,36.68,2.0,100.0,41.67,34.0,
NVIDIA GeForce GTX 1080 Ti,DPAPImasterkeyfilev2(context3),dict1,272.0,272.0,272.0,272.0,87.0,88.0,87.5,87.5,60.0,60.0,60.0,60.0,1621.64,9797.42,6293.39,9790.29,14.4,86.98,55.87,86.92,0.0,86.0,24.57,0.0,
NVIDIA GeForce GTX 1080 Ti,Drupal7,dict1,447.0,447.0,447.0,447.0,46.0,46.0,46.0,46.0,59.0,59.0,59.0,59.0,1624.78,6280.43,3952.82,3949.41,14.42,55.76,35.09,35.06,3.0,98.0,31.17,4.0,
NVIDIA GeForce GTX 1080 Ti,eCryptfs,dict1,53.0,53.0,53.0,53.0,28.0,84.0,79.76,83.0,58.0,59.0,58.47,58.0,1588.58,6240.73,5618.17,6240.73,14.1,55.4,49.88,55.4,2.0,94.0,76.4,94.0,
NVIDIA GeForce GTX 1080 Ti,EthereumWallet PBKDF2-HMAC-SHA256,dict1,29.0,29.0,29.0,29.0,64.0,73.0,65.17,64.5,58.0,58.0,58.0,58.0,1601.08,7585.73,6838.18,7585.73,14.21,67.34,60.71,67.34,2.0,97.0,61.04,71.0,
NVIDIA GeForce GTX 1080 Ti,EthereumWallet SCRYPT,dict1,0.0,0.0,0.0,0.0,92.0,100.0,97.44,100.0,58.0,59.0,58.94,59.0,1621.06,2067.98,1991.77,2039.36,14.39,18.36,17.68,18.11,0.0,100.0,79.09,93.0,
NVIDIA GeForce GTX 1080 Ti,ExodusDesktopWallet(scrypt),dict1,89.0,89.0,89.0,89.0,99.0,99.0,99.0,99.0,59.0,59.0,59.0,59.0,1639.0,9109.42,7615.91,9109.42,14.55,80.87,67.61,80.87,2.0,99.0,70.0,99.0,
NVIDIA GeForce GTX 1080 Ti,iPhonepasscode(UIDkey+SystemKeybag),dict1,253.0,253.0,253.0,253.0,69.0,70.0,69.5,69.5,59.0,59.0,59.0,59.0,1643.27,6369.42,4343.62,6367.92,14.59,56.55,38.56,56.53,2.0,72.0,35.57,39.0,
NVIDIA GeForce GTX 1080 Ti,iTunesbackup-=10.0,dict1,1.0,1.0,1.0,1.0,71.0,77.0,75.0,75.0,57.0,57.0,57.0,57.0,1602.81,2867.61,2700.41,2867.61,14.23,25.46,23.97,25.46,2.0,76.0,61.61,74.0,
