GPU,HASH,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,1Password  agilekeychain,dict3,3068493.0,3197702.0,3099444.94,3086907.0,29.0,95.0,69.28,76.0,82.0,89.0,85.22,85.0,1147.91,5873.02,4691.71,5872.84,10.19,52.14,41.65,52.14,0.0,98.0,56.75,82.5,
NVIDIA GeForce GTX 1080 Ti,7-Zip,dict3,2465.0,2467.0,2466.33,2466.0,97.0,98.0,97.5,97.5,80.0,82.0,81.11,81.0,1152.25,6890.18,5884.72,6150.98,10.23,61.17,52.24,54.61,0.0,98.0,84.3,97.0,
NVIDIA GeForce GTX 1080 Ti,AES-128-ECBNOKDF(PT=$salt key=$pass),dict3,58495095.0,58495095.0,58495095.0,58495095.0,5.0,5.0,5.0,5.0,60.0,60.0,60.0,60.0,1104.73,4066.02,3079.03,4066.02,9.81,36.1,27.34,36.1,0.0,26.0,5.5,1.5,
NVIDIA GeForce GTX 1080 Ti,AES-192-ECBNOKDF(PT=$salt key=$pass),dict3,58989925.0,58989925.0,58989925.0,58989925.0,4.0,4.0,4.0,4.0,60.0,60.0,60.0,60.0,1104.73,4066.02,3079.52,4066.02,9.81,36.1,27.34,36.1,0.0,26.0,5.17,0.0,
NVIDIA GeForce GTX 1080 Ti,AES-256-ECBNOKDF(PT=$salt key=$pass),dict3,59253319.0,59253319.0,59253319.0,59253319.0,3.0,3.0,3.0,3.0,61.0,61.0,61.0,61.0,1107.66,4066.02,3080.01,4066.02,9.83,36.1,27.34,36.1,0.0,27.0,9.5,1.5,
NVIDIA GeForce GTX 1080 Ti,AESCrypt(SHA256),dict3,179110.0,197713.0,189635.11,189067.0,97.0,98.0,97.32,97.0,80.0,86.0,83.74,84.0,1142.88,7149.52,6366.27,7149.52,10.15,63.47,56.52,63.47,0.0,97.0,81.3,96.0,
NVIDIA GeForce GTX 1080 Ti,AIX{smd5},dict3,874687.0,922453.0,888437.72,885811.5,66.0,98.0,88.44,97.0,76.0,80.0,78.89,79.0,1855.26,6289.21,5662.36,6094.35,16.47,55.83,50.27,54.1,2.0,98.0,64.29,84.0,
NVIDIA GeForce GTX 1080 Ti,AIX{ssha1},dict3,21594835.0,22993999.0,22017882.4,21869348.0,25.0,98.0,69.4,67.0,77.0,83.0,79.4,79.0,1674.4,6405.99,5671.33,6397.79,14.87,56.87,50.35,56.8,3.0,98.0,38.62,29.0,
NVIDIA GeForce GTX 1080 Ti,AIX{ssha256},dict3,9273424.0,10275611.0,9845194.71,9889121.5,15.0,96.0,65.86,75.5,72.0,83.0,80.07,81.0,1702.19,6745.18,6139.16,6698.76,15.11,59.88,54.5,59.47,1.0,98.0,59.83,71.0,
NVIDIA GeForce GTX 1080 Ti,AIX{ssha512},dict3,3855476.0,3974872.0,3893691.39,3882384.5,30.0,95.0,58.06,52.5,80.0,83.0,81.56,82.0,1635.84,7387.86,6593.59,7313.61,14.52,65.59,58.54,64.93,1.0,100.0,48.52,52.0,
NVIDIA GeForce GTX 1080 Ti,AmazonAWS4-HMAC-SHA256,dict3,6083706.0,6190188.0,6148692.33,6164173.0,13.0,34.0,17.06,16.5,57.0,65.0,61.94,63.0,1103.23,2280.02,2126.72,2280.02,9.79,20.24,18.88,20.24,0.0,40.0,15.52,17.0,
NVIDIA GeForce GTX 1080 Ti,Android FDE -= 4.3,dict3,1047773.0,1061452.0,1053319.86,1051468.0,31.0,97.0,79.71,97.0,82.0,91.0,87.29,89.0,1133.38,6068.02,5410.29,6068.02,10.06,53.87,48.03,53.87,0.0,98.0,75.27,97.0,
NVIDIA GeForce GTX 1080 Ti,AndroidBackup,dict3,191304.0,199157.0,193702.56,193163.0,98.0,98.0,98.0,98.0,83.0,88.0,84.89,84.0,1152.31,6086.96,3620.51,3621.11,10.23,54.04,32.14,32.15,0.0,98.0,32.5,0.0,
NVIDIA GeForce GTX 1080 Ti,AndroidFDE(SamsungDEK),dict3,302225.0,316150.0,306649.78,305699.0,92.0,98.0,97.44,98.0,82.0,86.0,83.78,84.0,1154.54,7136.9,6361.3,7136.9,10.25,63.36,56.47,63.36,0.0,97.0,83.3,97.0,
NVIDIA GeForce GTX 1080 Ti,AnsibleVault,dict3,129911.0,134961.0,131654.78,130997.0,97.0,98.0,97.83,98.0,82.0,85.0,83.67,83.0,1151.6,7136.9,6616.47,7136.9,10.22,63.36,58.74,63.36,0.0,98.0,83.57,97.0,
NVIDIA GeForce GTX 1080 Ti,AppleiWork,dict3,932671.0,992694.0,945594.56,936926.5,28.0,98.0,94.11,98.0,81.0,87.0,84.0,84.0,1142.88,5867.52,3506.07,3506.67,10.15,52.09,31.13,31.13,0.0,97.0,24.83,0.0,
NVIDIA GeForce GTX 1080 Ti,AppleKeychain,dict3,1613217.0,1692844.0,1636384.18,1630345.0,55.0,96.0,86.18,95.0,83.0,91.0,87.82,88.0,1145.16,6077.52,5607.81,6077.52,10.17,53.96,49.79,53.96,0.0,98.0,67.62,89.0,
NVIDIA GeForce GTX 1080 Ti,AxCrypt1,dict3,133010.0,135323.0,134013.89,133751.5,95.0,98.0,97.28,97.0,82.0,83.0,82.44,82.0,1152.25,5708.9,5114.78,5708.9,10.23,50.68,45.41,50.68,0.0,97.0,80.04,97.0,
NVIDIA GeForce GTX 1080 Ti,AxCrypt2AES-128,dict3,57393.0,57648.0,57498.17,57479.0,97.0,98.0,97.56,98.0,81.0,88.0,83.67,83.5,1143.48,7086.65,6343.8,7086.65,10.15,62.91,56.32,62.91,0.0,99.0,82.88,96.5,
NVIDIA GeForce GTX 1080 Ti,AxCrypt2AES-256,dict3,27498.0,27750.0,27555.22,27550.5,97.0,99.0,98.5,99.0,81.0,86.0,83.94,83.0,1145.94,7256.84,6492.8,7256.59,10.17,64.43,57.64,64.42,0.0,99.0,81.83,98.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt$2-$ Blowfish(Unix),dict3,24954.0,25015.0,24992.44,24996.0,93.0,98.0,96.33,97.0,70.0,71.0,70.56,71.0,1664.61,3485.51,2808.05,3472.38,14.78,30.94,24.93,30.83,5.0,96.0,55.15,90.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt(md5($pass))-bcryptmd5,dict3,23909.0,23961.0,23931.5,23931.5,91.0,95.0,93.94,95.0,71.0,71.0,71.0,71.0,1098.12,2892.77,2259.06,2892.77,9.75,25.68,20.06,25.68,0.0,95.0,54.53,90.5,
NVIDIA GeForce GTX 1080 Ti,bcrypt(sha1($pass))-bcryptsha1,dict3,24811.0,24898.0,24829.61,24824.5,93.0,98.0,96.28,97.0,70.0,71.0,70.94,71.0,1102.91,2899.71,2265.52,2899.71,9.79,25.74,20.11,25.74,0.0,95.0,57.22,91.0,
NVIDIA GeForce GTX 1080 Ti,bcrypt(sha512($pass))-bcryptsha512,dict3,239.0,239.0,239.0,239.0,97.0,97.0,97.0,97.0,66.0,67.0,66.17,66.0,1098.44,2893.09,2266.38,2893.09,9.75,25.68,20.12,25.68,0.0,99.0,57.91,97.0,
